Country,COMPLETE,PENDING_PAYMENT,PROCESSING,CLOSED,PENDING,ON_HOLD,SUSPECTED_FRAUD,CANCELED,PAYMENT_REVIEW
Afganistán,16,19,7,13,11,3,1,2,1
Alemania,1176,770,417,369,397,193,82,68,46
Arabia Saudí,99,70,36,27,30,22,9,3,5
Argentina,191,137,83,87,71,34,13,19,7
Australia,1293,823,410,430,411,226,86,79,40
Austria,173,111,59,52,53,30,12,9,6
Bangladés,70,47,24,20,30,7,1,4,4
Bielorrusia,24,14,8,4,7,7,2,1,1
Bolivia,21,14,11,9,8,6,1,2,1
Brasil,855,599,305,286,301,147,67,63,27
Bélgica,78,54,17,28,38,18,7,6,3
Camboya,20,17,4,7,10,4,1,2,1
Canada,93,61,45,40,37,14,11,7,1
Chile,70,62,24,29,30,15,2,7,3
China,836,600,304,295,297,135,61,60,28
Colombia,208,123,81,72,62,28,15,13,5
Corea del Sur,89,63,41,24,35,10,5,3,5
Croacia,8,5,3,4,2,2,1,1,1
Cuba,373,271,148,127,129,63,32,35,13
Dinamarca,46,18,8,11,13,8,2,2,2
Ecuador,33,18,13,8,13,5,2,4,1
Egipto,125,88,54,38,45,22,12,10,2
El Salvador,413,272,153,132,132,77,23,20,16
España,482,333,187,161,151,81,32,22,13
Estados Unidos,2781,1761,1007,899,894,460,198,185,85
Filipinas,292,229,102,105,106,65,20,23,13
Finlandia,41,19,21,8,11,4,2,1,2
Francia,1629,1106,538,530,541,249,127,91,55
Guatemala,282,174,126,105,111,63,22,16,5
Honduras,387,262,139,133,138,62,23,25,9
India,694,475,258,263,242,120,46,36,18
Indonesia,628,417,241,202,226,104,39,48,15
Irak,102,61,42,31,37,24,9,8,4
Irán,183,106,59,41,56,31,7,10,5
Israel,27,18,11,10,6,10,2,1,4
Italia,626,401,207,229,207,109,42,45,14
Japón,121,70,47,37,39,18,5,7,5
Kenia,26,13,12,11,11,5,2,1,1
Malasia,79,53,30,29,30,16,4,4,10
Marruecos,127,81,48,34,48,16,7,7,6
Martinica,16,4,7,6,3,2,4,1,2
Mozambique,27,18,7,6,8,5,1,1,2
Myanmar (Birmania),54,51,21,21,23,11,5,3,4
México,1471,935,521,488,502,233,104,90,51
Nicaragua,315,225,123,109,108,61,28,23,18
Nigeria,274,153,92,92,76,44,15,13,6
Nueva Zelanda,172,118,73,58,50,33,13,8,11
Pakistán,111,100,41,35,45,19,4,5,2
Panamá,224,121,84,87,85,29,11,10,5
Países Bajos,219,188,90,85,74,39,17,18,6
Perú,85,57,29,30,32,18,8,6,7
Portugal,40,22,8,16,14,10,6,2,2
Reino Unido,902,636,358,314,283,139,60,64,29
República Democrática del Congo,119,58,43,38,38,17,5,7,4
República Dominicana,393,268,163,150,147,60,25,23,13
Rumania,49,36,13,10,23,8,6,2,1
Rusia,106,61,41,38,39,20,5,8,4
Singapur,72,60,29,24,16,14,2,4,5
SudAfrica,140,78,46,41,31,22,10,7,5
Suecia,139,68,44,33,36,23,1,7,3
Suiza,41,33,14,9,13,8,5,5,4
Tailandia,128,92,49,41,53,21,9,9,1
Tanzania,49,24,16,10,13,7,3,4,1
Turquía,384,265,136,121,116,62,23,22,11
Ucrania,126,66,36,36,32,15,5,4,3
Venezuela,113,75,36,26,36,13,10,7,3
Vietnam,111,69,40,40,45,18,4,6,2
Zambia,32,15,8,11,13,2,2,2,1
